2023/12/13
11:39:15.31
2e-05
N,mm,ms
-5.5417,0.0,0.0
-10.792,-0.1670000000000016,0.01999999999998181
1.4583,-1.458999999999996,0.7200000000000273
-2.0417,-4.188000000000002,0.7400000000000091
-0.29167,-6.729999999999997,0.7599999999999909
0.58333,-8.521999999999998,0.7800000000000296
-1.1667,-9.447000000000003,0.8000000000000114
-3.5,-9.521999999999998,0.8199999999999932
7.875,-10.546999999999997,2.6000000000000227
2.625,-11.560000000000002,2.6200000000000045
7.2917,-11.993000000000002,2.6399999999999864
7.0,-12.384999999999998,2.7200000000000273
5.25,-13.097999999999999,2.740000000000009
5.25,-13.981000000000002,2.759999999999991
2.625,-14.735,2.7800000000000296
5.8333,-15.155999999999999,2.8000000000000114
2.625,-15.21,2.819999999999993
6.125,-15.377000000000002,3.519999999999982
4.6667,-17.002000000000002,3.5400000000000205
5.25,-18.356,3.5600000000000023
9.0417,-19.177,3.579999999999984
7.0,-19.677,3.6000000000000227
7.5833,-19.747999999999998,3.6200000000000045
74.667,-19.851999999999997,5.939999999999998
78.458,-19.923000000000002,5.9599999999999795
70.583,-21.069000000000003,7.5
73.792,-23.336,7.519999999999982
72.042,-25.361000000000004,7.5400000000000205
76.417,-26.857,7.560000000000002
69.125,-27.816000000000003,7.579999999999984
72.042,-28.153000000000006,7.600000000000023
-1.4583,-28.965999999999994,10.620000000000005
1.4583,-30.179000000000002,10.639999999999986
3.5,-30.641000000000005,10.660000000000025
-3.5,-30.823999999999998,13.259999999999991
-3.5,-30.986999999999995,13.28000000000003
-4.0833,-31.033,13.300000000000011
-6.7083,-31.391000000000005,15.240000000000009
-2.625,-32.391000000000005,15.259999999999991
-3.2083,-32.995000000000005,15.28000000000003
-4.6667,-33.037000000000006,15.300000000000011
-66.208,-33.821,17.660000000000025
-69.417,-34.575,17.680000000000007
-67.667,-35.037000000000006,17.69999999999999
-66.792,-35.187,17.720000000000027
6.4167,-35.724999999999994,21.980000000000018
3.7917,-35.974999999999994,22.0
4.9583,-36.208,22.019999999999982
4.9583,-36.417,22.04000000000002
3.7917,-36.745999999999995,22.060000000000002
3.7917,-37.083,22.079999999999984
5.5417,-37.20399999999999,22.100000000000023
6.7083,-37.242000000000004,23.160000000000025
5.8333,-37.242000000000004,24.69999999999999
7.5833,-37.29600000000001,24.80000000000001
7.5833,-37.617000000000004,24.819999999999993
7.2917,-37.870999999999995,24.840000000000032
4.9583,-37.913,24.860000000000014
73.5,-37.988,25.920000000000016
70.292,-38.604,27.180000000000007
66.792,-39.629000000000005,27.19999999999999
64.75,-40.388000000000005,27.220000000000027
68.833,-40.870999999999995,27.24000000000001
62.417,-40.913,27.25999999999999
31.5,-41.013000000000005,29.54000000000002
26.542,-41.58,29.560000000000002
28.0,-42.021,29.579999999999984
25.083,-42.221000000000004,29.600000000000023
10.5,-42.584,30.19999999999999
3.7917,-42.92999999999999,30.220000000000027
0.29167,-43.309,31.78000000000003
-1.4583,-43.455,31.80000000000001
-1.4583,-43.834,32.19999999999999
-1.4583,-44.251000000000005,32.22000000000003
-2.625,-44.525999999999996,32.24000000000001
-1.1667,-44.592,32.25999999999999
-1.75,-44.617000000000004,32.28000000000003
-0.875,-45.212999999999994,32.60000000000002
-1.4583,-46.20099999999999,32.620000000000005
-2.0417,-46.801,32.639999999999986
-2.625,-46.968,32.660000000000025
-2.3333,-47.214,33.81999999999999
-5.8333,-48.089,33.84000000000003
-2.9167,-48.730000000000004,33.860000000000014
-4.6667,-49.126000000000005,33.879999999999995
-2.625,-49.221999999999994,33.900000000000034
-10.792,-49.547,35.68000000000001
-17.792,-49.772000000000006,35.69999999999999
-72.625,-49.926,37.10000000000002
-75.25,-50.018,37.120000000000005
-3.2083,-50.043000000000006,73.78000000000003
-5.25,-50.364000000000004,73.80000000000001
-3.2083,-50.846999999999994,73.82
-5.5417,-51.068,73.84000000000003
-3.7917,-51.318,73.86000000000001
-2.625,-51.581,73.88
-4.0833,-51.897000000000006,73.90000000000003
-2.0417,-52.068,73.92000000000002
-4.6667,-52.193,73.94
-1.75,-52.355999999999995,73.95999999999998
-5.25,-52.397000000000006,73.98000000000002
-1.1667,-52.41,74.0
-4.6667,-52.485,74.01999999999998
-1.1667,-52.681,74.04000000000002
-4.6667,-52.721999999999994,74.06
-1.4583,-52.81,74.07999999999998
-4.6667,-52.839,74.10000000000002
-2.3333,-52.893,74.12
-2.625,-52.989000000000004,74.16000000000003
-5.8333,-53.289,74.18
-1.75,-53.456,74.19999999999999
-5.8333,-53.69799999999999,74.22000000000003
-1.4583,-54.018,74.24000000000001
-4.0833,-54.355999999999995,74.25999999999999
-2.625,-54.556,74.28000000000003
-5.8333,-54.785,74.30000000000001
-3.2083,-54.998000000000005,74.32
-6.125,-55.093,74.45999999999998
-3.7917,-55.248000000000005,74.48000000000002
-5.8333,-55.32299999999999,74.51999999999998
0.29167,-55.456,74.54000000000002
-4.6667,-55.506,74.56
-2.3333,-55.652,74.57999999999998
-4.9583,-55.894000000000005,74.60000000000002
-1.1667,-56.081,74.62
-6.7083,-56.30199999999999,74.63999999999999
-2.625,-56.569,74.66000000000003
-4.6667,-56.923,74.68
-1.4583,-57.16,74.69999999999999
-4.6667,-57.281000000000006,74.72000000000003
-3.2083,-57.515,74.74000000000001
-5.25,-57.602000000000004,74.75999999999999
-2.3333,-57.769000000000005,74.78000000000003
-4.6667,-57.956,74.80000000000001
-1.4583,-58.36,74.82
-5.25,-58.658,74.84000000000003
-3.2083,-58.918000000000006,74.86000000000001
-6.4167,-59.168000000000006,74.88
-1.75,-59.298,74.90000000000003
-4.6667,-59.358000000000004,74.92000000000002
-4.375,-59.378,74.94
-3.7917,-59.55799999999999,74.95999999999998
-3.2083,-59.598,74.98000000000002
-2.3333,-59.628,75.0
-5.25,-59.668000000000006,75.01999999999998
-0.58333,-59.818,75.04000000000002
-4.9583,-59.837999999999994,75.06
-1.4583,-59.94799999999999,75.07999999999998
